Chat room,Number of users,Number of messages,Age in months,Messages per month,Messages per user,Messages per (user x age),Group type,Category,Theme,First-level theme,Year
akka/akka,4265,141604,52,2723.15,33.20,0.64,Topic,Libraries,Application programming interface,Software development,2015
allure-framework/allure-core,851,14869,52,285.94,17.47,0.34,Topic,Frameworks,Software testing,Software quality,2015
amethyst/engine,96,22282,28,795.79,232.10,8.29,Topic,Frameworks,Games development,Software development,2016
andreis/interview,224,96,58,1.66,0.43,0.01,Topic,Other,Jobs,Professional development,2014
angular-ui/ui-router,382,9241,44,210.02,24.19,0.55,Topic,Libraries,Web development,Software development,2015
BinaryMuse/fluxxor,289,2707,20,135.35,9.37,0.47,Topic,Frameworks,Patterns,Software architecture,2014
BVLC/caffe,2034,4295,44,97.61,2.11,0.05,Topic,Libraries,Machine learning system,Software development,2015
ConsenSys/smart-contract-best-practices,682,3222,33,97.64,4.72,0.14,Topic,Principles and practices,Patterns,Software architecture,2016
ConsenSys/truffle,4821,62678,47,1333.57,13.00,0.28,Topic,Frameworks,Integrated development environment,Software development,2015
cypress-io/cypress,3695,164432,50,3288.64,44.50,0.89,Topic,Tools,Software testing,Software quality,2015
davidguttman/node-browserify,58,183,6,30.50,3.16,0.53,Topic,Tools,Web development,Software development,2015
DefinitelyTyped/DefinitelyTyped,468,1612,48,33.58,3.44,0.07,Topic,Libraries,Software maintenance,Software development,2015
Elsevier Core Engineering/replicator,28,1249,17,73.47,44.61,2.62,Project,Products,Cloud computing,Software architecture,2017
ethereum/go-ethereum,8073,129848,58,2238.76,16.08,0.28,Topic,Tools,Blockchain,Software architecture,2014
expressjs/express,4665,18864,53,355.92,4.04,0.08,Topic,Frameworks,Web development,Software development,2014
facebook/flow,364,1741,29,60.03,4.78,0.16,Topic,Tools,Code quality,Software quality,2016
flajann2/rubyneat,8,10,25,0.40,1.25,0.05,Project,Tools,Machine learning system,Software development,2016
FreeCodeCamp/Contributors,2037,69670,35,1990.57,34.20,0.98,Project,Principles and practices,Coding,Professional development,2016
FreeCodeCamp/DataScience,2335,15102,46,328.30,6.47,0.14,Topic,Processes,Machine learning libraries,Software development,2015
FreeCodeCamp/HelpBackEnd,4098,122406,41,2985.51,29.87,0.73,Topic,Principles and practices,Back-end,Software development,2016
FreeCodeCamp/testable-projects-fcc,18,420,9,46.67,23.33,2.59,Project,Principles and practices,Coding,Professional development,2018
ga4gh/server,40,221,5,44.20,5.53,1.11,Project,Libraries,Coding,Professional development,2015
gitlabhq/gitlabhq,2984,17338,64,270.91,5.81,0.09,Topic,Tools,Software maintenance,Software development,2014
gitterHQ/developers,11693,41983,35,1199.51,3.59,0.10,Topic,Principles and practices,Coding,Professional development,2016
