Community name,Description of community,Chat room,Number of users (room),Description of channel,Type of chat room,Nature of discussion,Theme 1,Theme 2,Themes 3
Elixir,Slack community for Elixir programming language.,phoenix,25209,"Topic: <[URL]> | docs: <[URL]> :fire:
Purpose: Discussion and help around the Phoenix web framework [URL]",Topic,Frameworks,Web development,Distributed software,
DevChat,We learn programming together and help each other when we get stuck.,jobs,14024,"Topic: Looking for work or to hire someone? This is the place. Tell us about your work and ask questions about work. Tips to get work, etc.
Purpose: Guidelines for posting: <[URL]>",Topic,Other,Jobs,Coding,
Elm,Slack community for Elm language.,beginners,14723,"Topic: FAQs at <[URL]>
Purpose: For new people to ask questions",Topic,Principles and practices,Graphical user interface,Web development,
Data Science Community,"The biggest data science slack community with over 3,700 members - chat about anything and everything to do with data & machine learning. Share knowledge, get help, collaborate and more!",python,14688,"Topic: discussion on Python, Pandas, Scikit-Learn etc
Purpose: Learning python? Want to share python wisdom? Here's the place.",Topic,Libraries,Machine learning libraries,,
Bot Developer Hangout,Slack community for Slack app developers. Members include people from Slack.,botkit,6652,Topic: Botkit Docs: <[URL]> Botkit Issues: <[URL]>,Topic,Tools,,,
clojurians,A Slack community for people who love all things Clojure. Discussions around #clojure #clojurescript #datomic #datascript #webdevelopment and more,clojure,12293,"Topic: [URL] Searchable message archives are at [URL]
Purpose: Discuss all things clojure :clj: If need assistance with Slack itself, try #slack-help or contact an Admin: they’re listed at the end of the Code of Conduct [URL]",Topic,Principles and practices,Web development,,
Ruby on Rails Link,"We are a community of Ruby on Rails developers from all over the world, including avid OSS contributors, full-stack engineers, founders of startup, backend engineers at enterprise and students learning Ruby on Rails. Join us and talk on Slack!",coding,12411,"Topic: chat about code, development practices, algorithms, system architecture, database design, etc.
Purpose: Ask coding question, talk about codes.",Topic,Principles and practices,Coding,,
Android United,"Android United is a friendly Slack community of professional Android developers. At the moment we unite more than 300 developers from all over the world. We share our experience, knowledge and relevant news about Android and mobile. We help each other.",design-ui-views,12211,"Topic: Channel to discuss User Interface part of Android. Views, styling, themes, usability, UX, etc.
Purpose: Everything about visual part of Android: views, styles, theming, UI/UX questions.",Topic,Principles and practices,Graphical user interface,Mobile development,
SQL Server Community,A community slack group for talking SQL Server and the wider Microsoft Data Platform,sqlhelp,9842,Topic: Another way to ask for help besides Twitter.,Topic,Principles and practices,,,
WeLearnJS,We are a self motivating group of individuals that support each other through the process of javascript learning with an ongoing series of projects/challenges. We believe that the best way to learn and become an expert in something is by doing and we also believe that you truly concrete your knowledge when you can teach others. Our group is based on this simple concept - Learn by doing then teach others.,codetalk,8491,"Purpose: Having an issue? Searching for help? This is your stackoverflow! Share your problem, and we will help you.",Topic,Principles and practices,Coding,Web development,
