Community/chat room name,Users,Messages,Age (months),Messages/month,Messages/user,Group type,Category,Theme1,Theme2,Theme3
akka/akka,4265,141604,52,2723.15,33.2,Topic,Libraries,Application program interface,Distributed software development,
allure-framework/allure-core,851,14869,52,285.94,17.5,Topic,Frameworks,Testing,,
amethyst/engine,96,22282,28,795.79,232.1,Topic,Frameworks,Games development,,
andreis/interview,224,96,58,1.66,0.4,Topic,Other,Jobs for developers,,
angular-ui/ui-router,382,9241,44,210.02,24.2,Topic,Libraries,Web development,,
BinaryMuse/fluxxor,289,2707,20,135.35,9.4,Topic,Frameworks,Design patterns,Web development,
braziljs/js-the-right-way,66,90,35,2.57,1.4,Topic,Principles and practices,Coding practice,,
BVLC/caffe,2034,4295,44,97.61,2.1,Topic,Libraries,Machine learning system,,
CocoaPods/Xcodeproj,36,15,30,0.5,0.4,Topic,Libraries,Integrated development environment,Web development,
ConsenSys/smart-contract-best-practices,682,3222,33,97.64,4.7,Topic,Principles and practices,Design patterns,Blockchain,
ConsenSys/truffle,4821,62678,47,1333.57,13.0,Topic,Frameworks,Integrated development environment,Blockchain,
cypress-io/cypress,3695,164432,50,3288.64,44.5,Topic,Tools,Testing,,
davidguttman/node-browserify,58,183,6,30.5,3.2,Topic,Tools,Web development,,
DefinitelyTyped/DefinitelyTyped,468,1612,48,33.58,3.4,Topic,Libraries,Software maintenance,Software documentation,
denariusproject/Lobby,360,260864,57,4576.56,724.6,Project,Other,Bitcoin,,
Elsevier Core Engineering/replicator,28,1249,17,73.47,44.6,Project,Products,Cloud computing,,
ethereum/go-ethereum,8073,129848,58,2238.76,16.1,Topic,Tools,Blockchain,,
expressjs/express,4665,18864,53,355.92,4.0,Topic,Frameworks,Web development,,
facebook/flow,364,1741,29,60.03,4.8,Topic,Tools,Coding quality,Web development,
flajann2/rubyneat,8,10,25,0.4,1.3,Project,Tools,Machine learning system,Coding practice,
flutter/flutter,7456,365706,38,9623.84,49.0,Topic,Frameworks,Integrated development environment,Mobile development,
FreeCodeCamp/Contributors,2037,69670,35,1990.57,34.2,Project,Techniques,Coding practice,,
FreeCodeCamp/DataScience,2335,15102,46,328.3,6.5,Topic,Processes,Machine learning libraries,Machine learning systems,
FreeCodeCamp/HelpBackEnd,4098,122406,41,2985.51,29.9,Topic,Principles and practices,Back-end software development ,Coding practice,
FreeCodeCamp/testable-projects-fcc,18,420,9,46.67,23.3,Project,Principles and practices,Coding practice,,
ga4gh/server,40,221,5,44.2,5.5,Project,Libraries,Coding practice,,
gitlabhq/gitlabhq,2984,17338,64,270.91,5.8,Topic,Tools,Software maintenance ,Version control,
gitterHQ/developers,11693,41983,35,1199.51,3.6,Topic,Techniques,Coding practice,,
google/material-design-lite,4480,15036,47,319.91,3.4,Topic,Libraries,User interface,,
googlesamples/android-architecture,296,244,39,6.26,0.8,Topic,Principles and practices,Mobile development,Design patterns,
gushphp/gush,112,113,46,2.46,1.0,Project,Tools,Web development,Microservices,Containers
