Higher-theme,Theme,Popularity in Rooms,Popularity in Users,Popularity in Size of chat room,Activity,Engagement
Professional development,Coding,12,"19,282","1,607",705.55,2.02
Professional development,Jobs,2,272,136,3.47,0.06
Professional development,Testing,2,705,353,821.70,8.83
Professional development,Workshop,2,123,62,71.84,0.70
Software architecture,Authentication,5,"2,308",462,"1,132.02",8.82
Software architecture,Bitcoin,1,360,360,"4,576.56",12.71
Software architecture,Blockchain,5,"33,809","6,762","2,021.87",0.27
Software architecture,Cloud computing,4,"1,071",268,453.41,1.43
Software architecture,Containers,2,"1,519",760,541.83,0.40
Software architecture,Patterns,7,"2,457",351,70.43,0.28
Software architecture,Microservices,2,166,83,2.54,0.04
Software architecture,Service-oriented architecture,1,5,5,1.74,0.35
Software architecture,Software components,5,"4,150",830,981.10,1.52
Software development,Application program interface,1,"4,265","4,265","2,723.15",0.64
Software development,Back-end,2,"5,436","2,718","1,890.22",0.66
Software development,Big data,2,98,49,63.88,0.81
Software development,Command line interface,1,446,446,9.63,0.02
Software development,Configuration management,2,608,304,14.75,0.07
Software development,Continuous integration,1,291,291,588.00,2.02
Software development,Distributed software development,2,"4,650","2,325","1,393.58",0.40
Software development,Games development,3,"1,518",506,"1,013.77",3.82
Software development,Integrated development environment,3,"12,313","4,104","3,652.64",0.53
Software development,Machine learning libraries,3,"5,857","1,952","1,197.00",3.10
Software development,Machine learning research,1,556,556,551.13,0.99
Software development,Machine learning system,4,"4,403","1,101",108.14,0.12
Software development,Mobile development,4,"16,913","4,228","2,510.58",0.39
Software development,Build automation,2,"16,813","8,407","1,621.50",0.17
Software development,Release,2,213,107,67.66,0.52
Software development,Reverse engineering,1,215,215,44.20,0.21
Software development,Software deployment,2,345,173,72.34,0.40
Software development,Software documentation,5,783,157,52.61,2.82
Software development,Software maintenance,5,"3,762",752,226.89,5.36
Software development,Graphical user interface,8,"14,286","1,786",228.60,2.10
Software development,Version control,1,"2,984","2,984",270.91,0.09
Software development,Web development,20,"21,667","1,083",284.66,0.88
Software quality,Code quality,2,"17,006","8,503","1,639.49",0.18
Software quality,Software testing,5,"7,623","1,525","1,112.77",0.62
